id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5994,Shiba Inu,SHIB,shiba-inu,826,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589271835732804.2,589519968022111.2,False,,11,,,,2024-05-30T22:19:00.000Z,2.5744181028560895e-05,1262761129.746831,-39.5611,0.04540153,-6.74287049,5.21253742,14.82738557,-15.79107148,50.78573036,15170320814.13771,0.5984,15176708776.71,,2024-05-30T22:19:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-05-30 17:21:09.521863
5805,Avalanche,AVAX,avalanche,733,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,393014584.0507311,442360954.0507311,False,,12,,,,2024-05-30T22:19:00.000Z,35.98326221945416,404543722.7428514,4.7678,-0.29431638,-1.30839505,-6.57404484,10.43623263,-33.10860392,-15.17182077,14141946833.967163,0.5578,25754973839.02,,2024-05-30T22:19:00.000Z,,,,,,2024-05-30 17:21:09.521863
1975,Chainlink,LINK,chainlink,1785,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,587099970.4527867,1000000000.0,False,,13,,,,2024-05-30T22:19:00.000Z,17.847754688494618,528778778.6218165,-11.4379,0.06898594,-3.79517753,7.37518316,35.91171676,-6.10974114,-10.3876649,10478416250.263777,0.4133,17847754688.49,,2024-05-30T22:19:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-05-30 17:21:09.521863
6636,Polkadot,DOT,polkadot-new,773,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,14,1451368849.183146,10166241199.923658,,2024-05-30T22:19:00.000Z,7.0045882586259065,220735881.0894811,-9.4375,0.13941708,-2.40113549,-3.03279424,10.17038161,-26.70629416,-17.81555465,10072271721.812204,0.3973,10072271721.81,,2024-05-30T22:19:00.000Z,,,,,,2024-05-30 17:21:09.521863
1958,TRON,TRX,tron,984,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87382492896.62703,87382491737.89517,True,,15,71659659264.0,8018736157.657797,,2024-05-30T22:19:00.000Z,0.1119002830883708,261969474.0295118,-6.6908,0.06819274,-0.12292872,-2.66272066,-6.02871443,-8.89710894,-20.90217792,9778125692.10012,0.3856,9778125562.44,,2024-05-30T22:19:00.000Z,,,,,,2024-05-30 17:21:09.521863
1,Bitcoin,BTC,bitcoin,11078,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19705709.0,19705709.0,False,,1,,,,2024-05-30T22:20:00.000Z,68253.92447488786,29605709863.06675,10.896,-0.19375695,0.94140648,0.80633607,13.10722534,-3.70935461,9.19342214,1344991973810.118,53.0368,1433332413972.65,,2024-05-30T22:20:00.000Z,,,,,,2024-05-30 17:21:55.387399
1027,Ethereum,ETH,ethereum,9015,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120139697.95266496,120139697.95266496,True,,2,,,,2024-05-30T22:19:00.000Z,3748.8800187245465,15360005614.761822,-12.4973,0.20511255,-0.56204576,-1.8574324,24.97091318,3.27778879,9.18719906,450389313110.348,17.7603,450389313110.35,,2024-05-30T22:19:00.000Z,,,,,,2024-05-30 17:21:55.387399
825,Tether USDt,USDT,tether,87325,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,111963763434.5026,115086550409.00153,True,,3,,,,2024-05-30T22:19:00.000Z,0.9997721076972924,66424931175.14752,2.6896,-0.00649175,0.08328813,0.03971393,0.10887346,-0.03070436,-0.11153546,111938247754.63371,4.415,115060323070.02,,2024-05-30T22:19:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-05-30 17:21:55.387399
1839,BNB,BNB,bnb,2172,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147585388.07902363,147585388.07902363,False,,4,,,,2024-05-30T22:19:00.000Z,594.6163731740758,1746724933.367484,6.7236,0.17000863,-0.18988344,-0.40489807,2.56839645,-1.9574726,45.79949497,87756688193.0375,3.4612,87756688193.04,,2024-05-30T22:19:00.000Z,,,,,,2024-05-30 17:21:55.387399
5426,Solana,SOL,solana,668,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,459615074.79870385,577098714.1875925,True,,5,,,,2024-05-30T22:19:00.000Z,166.587467334873,2926502486.3179827,3.1844,-0.09459726,-1.24554038,-6.07686954,31.45213338,-16.70761842,27.02226801,76566111259.64429,3.0192,96137413198.72,,2024-05-30T22:19:00.000Z,,,,,,2024-05-30 17:21:55.387399
